title,link,salary,company,com_type,area,post_time,exp_level,edu_level,job_type
Urgent recruitment of ESL teacher for a public hig,http://jobleadchina.com/job/2097,16K/MTH - 20K/MTH,Expert International Education,School,Others,"Post time: October 24, 2018",Experience: Associate,Any education,Full-time
Beijing International Kindergarten Curriculum Deve,http://jobleadchina.com/job/2819,15K/MTH - 20K/MTH,LCAIS,School,Beijing,"Post time: October 23, 2018",Experience: Entry Level,Bachelor,Full-time
ENGLISH TEACHING IN CHINA,http://jobleadchina.com/job/2811,10K/MTH - 17K/MTH,ESL JOB IN CHINA,Teaching Center,Beijing,"Post time: October 21, 2018",Experience: Entry Level,Bachelor,Full-time
ESL JOB IN CHINA,http://jobleadchina.com/job/2810,7000K/MTH - 15000K/MTH,ESL JOB IN CHINA,Teaching Center,Beijing,"Post time: October 21, 2018",Experience: Entry Level,Any education,Full-time
K12 English Teacher,http://jobleadchina.com/job/2804,16K/MTH - 22K/MTH,Best Learning,Teaching Center,Qingdao,"Post time: October 21, 2018",Experience: Associate,Any education,Full-time
English Teacher for Adult and Children,http://jobleadchina.com/job/2800,8000K/MTH - 13000K/MTH,Dongsheng New Material,Others,Shanghai,"Post time: October 17, 2018",Experience: Associate,Any education,Full-time
Foreign Kindergarten Teacher,http://jobleadchina.com/job/2799,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: October 17, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
USKid online teacher,http://jobleadchina.com/job/2786,0K/MTH - 10000K/MTH,USKid,Teaching Center,Beijing,"Post time: October 12, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
Foreign Kindergarten Teacher,http://jobleadchina.com/job/2785,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: October 12, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Kindergarten Teacher,http://jobleadchina.com/job/2755,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: October 10, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Foreign Kindergarten Teacher in Hangzhou,http://jobleadchina.com/job/2739,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: October 08, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
SAT Instructor at Elite Scholars of China,http://jobleadchina.com/job/2731,15K/MTH - 20K/MTH,JingJobs,Consultancy/Legal/Admin,Beijing,"Post time: September 29, 2018",Experience: Associate,Bachelor,Full-time
"Teaching Kids in Hangzhou, RMB 15K-18K/month",http://jobleadchina.com/job/2726,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: September 29, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
"Kindergarten teacher wanted in Hangzhou, start ASA",http://jobleadchina.com/job/2713,15000K/MTH - 1800K/MTH,Hailiang ECE,School,Hangzhou,"Post time: September 27, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
USKid online teacher,http://jobleadchina.com/job/2689,0K/MTH - 10000K/MTH,USKid,Teaching Center,Beijing,"Post time: September 26, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
Longyan City 1 kindergarten teacher required,http://jobleadchina.com/job/2655,10K/MTH - 15K/MTH,Wanfu Edu,School,Others,"Post time: September 25, 2018",Experience: Associate,Any education,Full-time
Foreign Kindergarten Teacher,http://jobleadchina.com/job/2676,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: September 25, 2018",Experience: Associate,Bachelor,Full-time
USKid online teacher,http://jobleadchina.com/job/2667,0K/MTH - 10000K/MTH,USKid,Teaching Center,Beijing,"Post time: September 25, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
Xinjiang Urumqi International Kindergarten / Presc,http://jobleadchina.com/job/2654,15K/MTH - 20K/MTH,LCAIS,School,Beijing,"Post time: September 21, 2018",Experience: Entry Level,Bachelor,Full-time
USKid online teacher,http://jobleadchina.com/job/2653,0K/MTH - 10000K/MTH,USKid,Teaching Center,Beijing,"Post time: September 21, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
